"profile-review__header","profile-review__data-item","profile-review__data-item 2","data--item","data--item 2","sg-rating__number","profile-review__rating-metrics 2","profile-review__rating-metrics 4","profile-review__rating-metrics 6","profile-review__rating-metrics 8","profile-review__quote","profile-review__date","reviewer_position","reviewer_card--name","profile-review__reviewer-verification-badge-title","reviewer_list__details-title","reviewer_list__details-title 2","reviewer_list__details-title 3","reviewer_list__details-title 4","profile-review__summary","profile-review__feedback","profile-review__extra-type","profile-review__text","profile-review__text 2","profile-review__text 3","profile-review__text 4","profile-review__text 5","profile-review__text 6","profile-review__text 7","profile-review__text 8","profile-review__text 9","profile-review__text 10","profile-review__text 11","profile-review__text 12","profile-review__text 14","profile-review__text 15","profile-review__text 16","profile-review__text 17","profile-review__text 18","profile-review__text 19","profile-review__text 20","profile-review__text 21","profile-review__text 22","profile-review__text 23","profile-review__text 24","profile-review__text 25","profile-review__text 26","profile-review__text 27","sg-rating__number 2","profile-review__text 32","profile-review__text 33","profile-review__text 34","profile-review__text 35","profile-review__extra-quote","profile-review__extra-detailed-metrics-quote","profile-review__extra-detailed-metrics-quote 2","profile-review__extra-detailed-metrics-quote 3","profile-review__extra-detailed-metrics-quote 4","profile-review__text 36","profile-review__text 37","profile-review__text 38","profile-review__text 41"
"Branding, Marketing Strategy & Print Design for University","Branding","Marketing Strategy","$10,000 to $49,999","Jan. 2024 - Ongoing","5.0","5.0","4.5","3.5","5.0","""They did an excellent job incorporating feedback and managing revisions based on the feedback provided.""","Feb 26, 2025","Department Assistant, Fort Hays State University","Anonymous","Verified","Education","Hays, Kansas","1,001-5,000 Employees","Online Review","Big Leap provides branding services for a university. The team has advised on marketing strategies, created a brand book, and designed brochures, Microsoft PowerPoint presentations, and Canva templates.","Big Leap's work has received positive feedback. The team is responsive and receptive to feedback, communicates smoothly, and showcases excellent project management skills. Their efficiency, talent, professionalism, and ability to connect remotely have impressed the client.","The client submitted this review online.","Please describe your company and position.","I am a Department Assistant of Fort Hays State University","Describe what your company does in a single sentence.","Public higher education institution serving Western Kansas","What specific goals or objectives did you hire Big Leap to accomplish?","Advise on all internal and external marketing strategies and digital content to help us launch a large new initiatives building a Professional & Continuing Education unit.","Develop strong brand standards, iconography and vision/mission statements","Prepare a Vision and Strategy brochure to use to generate interest in and buy-in for our new initiative","How did you find Big Leap?","Referral","Why did you select Big Leap over others?","High ratings","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","Big Leap helped us cradle-to-grave development of brand standards, including designing iconography, ppt and Canva templates and letterheads, a brand book with significant work on helping us frame our services and vision/mission.  Additionally they helped prepare a 15 page digital ""vision e-book"" for internal buy-in and explanations of what we are developing...how and why.","What were the measurable outcomes from the project that demonstrate progress or success?","Subjective experience of the team on our side about what message was appropriate for our channels as well as feedback from people outside our team.  Our work is ongoing, and we are at the beginning of launching a new unit, such traditional metrics like clicks, revenue, impressions, etc., have not yet been explored.","Describe their project management. Did they deliver items on time? How did they respond to your needs?","Excellent project management and communication. Carolyn's responsiveness, in particular, is off the charts. Jaime and Carolyn helped choose the right people to do the work and maintained steady communication to move the projects forward, using shred documents and meetings as necessary. They did an excellent job incorporating feedback and managing revisions based on the feedback provided.","What was your primary form of communication with Big Leap?","Virtual Meeting","What did you find most impressive or unique about this company?","Ability to connect in a fully remote environment. Efficiency, talent, professionalism.","Are there any areas for improvement or something Big Leap could have done differently?","Move a little quicker and act as if I'm they're only client and they work for me full-time (KIDDING!), although if I'm being honest that's actually what I want....but I don't really expect it. :-)","5.0","","","","","","","","","","","","",""
"SEO & Web Redesign for Retail Company","Search Engine Optimization","Web Design","Confidential","June 2023 - Ongoing","5.0","5.0","5.0","5.0","5.0","""They strive for strong ROI for their clients.""","Dec 5, 2024","CMO, Bricks & Minifigs","Chad Stewart","Verified","Retail","Provo, Utah","201-500 Employees","Online Review","Big Leap provides SEO and web design services for a retail company. They've conducted a technical SEO audit and redesigned the client's website. The goal is to improve search visibility and keyword rankings.","With Big Leap's help, the client has seen a 478.5% improvement in organic sessions, a 74% increase in keywords, and a 30.6% rise in the number of keywords within the top three positions. The team patiently guides the business through the process, going out of their way to provide quality solutions.","The client submitted this review online.","Please describe your company and position.","I am the CMO of Bricks & Minifigs","Describe what your company does in a single sentence.","Bringing joy and creativity to the world through LEGO® minifigures, complete sets, endless bricks, and more!","What specific goals or objectives did you hire Big Leap to accomplish?","Drive organic traffic and local search for non branded search phrases for individual brick and mortar stores across the United States and Canada","Improve visibility for franchise recruitment","High ratings","How did you find Big Leap?","Referral","Why did you select Big Leap over others?","Close to my geographic location","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","We engaged with Big Leap for overall, sitewide technical SEO, website redesign consulting and organic keyword ranking improvement for both the interests of the franchisor (Bricks & Minifigs) but as our prefered solution for our rapidly growing franchise network that has seen growth from 30 to 200 stores as of this post.","What were the measurable outcomes from the project that demonstrate progress or success?","● 478.5% increase in organic sessions (YTD)● 423.2% increase in engaged sessions (YTD)Key Pages Impacted● Franchise Opportunities Page (+177.7%)● Store Locator Page (+ 111.7%)● Homepage (+ 165.4%)● 74% increase in keywords● 30.6% increase in the numberof keywords in the top 3positions","Describe their project management. Did they deliver items on time? How did they respond to your needs?","Big Leap has a well designed support infrastructure, from Directors, Managers and Team members for strategy, support and ongoing execution. SEO takes time and consistency, and Big Leap goes above and beyond to establish realistic delivarables according to carefully thought out time lines.","What was your primary form of communication with Big Leap?","","What did you find most impressive or unique about this company?","","Are there any areas for improvement or something Big Leap could have done differently?","Email or Messaging App","5.0","In-Person Meeting","Virtual Meeting","Big Leap has solid leadership that prides itself on a competent, ethical approach. They strive for strong ROI for their clients and have a powerful background in multi-location brick and mortar businesses, which fits in powerfully with our  Bricks & Minifigs quickly growing footprint. I've used Big Leap with previous companies and their track record has been consistently positive.","Whenever you work with a franchise, you have a number of different franshisee personalities and communication styles. Reporting and monthly reports were items we asked for improvement on. We've seen over time this improve greatly.","""Ethical, focused, professional and current on organic trends. Big Leap is worth adding to any RFP when it comes to SEO""","""Our Year of Year performance speaks for itself.""","""Both on website development and projects, we've kept up with goals and deadlines""","""SEO is a powerful cash cow over the lifetime of the investment. The key is finding the right partner. Big Leap is a leader in this space.""","""Not only would I recommend Big Leap, I've used them at a number of brands. I continue to recommend them to my inner circle of Marketing Pros.","","","",""
"SEO, Blogs & Content Strategy for Leasing Solutions Firm","Content Marketing","Search Engine Optimization","Confidential","Jan. 2020 - Ongoing","5.0","5.0","5.0","5.0","5.0","""Big Leap takes a long-term approach and builds SEO strategies in a sustainable way.""","Nov 28, 2024","CMO, Leasing Solutions Company","Jordan Barker","Verified","Financial services","West Valley City, Utah","201-500 Employees","Online Review","Big Leap provides ongoing SEO services for a leasing solutions firm. The team has helped the client transition to a new site, built blog posts for key industries, and created a content strategy for the client.","Thanks to Big Leap's efforts, the client has seen a consistent increase in organic traffic yearly, with a 100% increase from 2022 to 2023. The team has also improved the keyword rankings for the client's top 25 keywords. Overall, the team has provided sustainable SEO solutions that produce results.","The client submitted this review online.","Please describe your company and position.","I am the CMO of a leasing solutions company.","Describe what your company does in a single sentence.","We provide affordable leasing solutions for equipment sellers and equipment buyers","What specific goals or objectives did you hire Big Leap to accomplish?","Increase organic traffic","Increase awareness of our brand","Rank for industry specific keywords","How did you find Big Leap?","Referral","Why did you select Big Leap over others?","High ratings","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","We've been working with Big Leap for the past 4 years, and we hired them to help us increase our organic traffic, and to help us rank for industry-specific keywords that we specialize/focus on.  They are also helping us transition over to our new site and have been very helpful in making sure everything goes smoothly.","What were the measurable outcomes from the project that demonstrate progress or success?","Big Leap helped us do an overhaul of our site to make sure all of our onsite optimizations are, well..optimized.  Additionally they have provided ongoing SEO efforts that have helped us increase our rankings and organic traffic consistently year-over-year.","Describe their project management. Did they deliver items on time? How did they respond to your needs?","We've seen consistent organic traffic increase YoY--2022 to 2023 was our largest increase of over 100% YoY.","What was your primary form of communication with Big Leap?","","What did you find most impressive or unique about this company?","They provide a very detailed monthly report that outlines progress against our goals, and then they provide a summary of what's next, what they are noticing, etc.","Are there any areas for improvement or something Big Leap could have done differently?","","5.0","","","We do a weekly call with their team to make sure we are seeing progress, and that we are aligned on what projects we are prioritizing and we can make those decisions together.","I can't think of a time when they were behind schedule, or failed to deliver something they had committed to.  Their team has been great to work with--and even when there are bumps in the road, they are quick to resolve the issue.  We had one project manager that was fine, but we weren't blown away by.  We brought this to their attention, and they immediately switched us to someone else and we've been with that person/team ever sense and have been very pleased.","","","","","","They've built out blog posts with us for some of our key industries, and they have helped us with our content strategy for our internal team to make sure we are aligning our efforts, with sustainable organic traffic growth.","They have also improved our keyword rankings for our top 25 keywords that we wanted to rank for.  Several of those keywords are not on the first page, and we are close on many of the other keywords as well.","They aren't focused on short term ""quick fixes"", but rather sustaintable SEO which has been refreshing.  A lot of other companies I have worked with in the past have promised things that just aren't realistic, like ranking after a specified period of time for very specific keywords.",""
"SEO for Promotional Products Co","Search Engine Optimization","","$10,000 to $49,999","Feb. 2024 - Ongoing","5.0","5.0","5.0","5.0","5.0","""Big Leap has gotten us exactly where we wanted to be and did it exactly how they said they would.""","May 14, 2024","Director of Operations, USB Memory Direct","Jordan Yeffet","Verified","Information technology","Hollywood, Florida","11-50 Employees","Online Review","Big Leap has been hired to enhance on-page and technical SEO for a promotional products company to boost organic rankings and site traffic. Their tasks include site audits, content analysis, and link building.","Big Leap has provided progress and traffic reports, showcasing improved rankings for client keywords and increased conversions. The team consistently delivers on time with an organized approach, keeping the client informed and addressing their needs with a combination of expertise and friendliness.","The client submitted this review online.","Please describe your company and position.","I am the Director of Operations of USB Memory Direct","Describe what your company does in a single sentence.","Selling Branded Promotional Products with a specialty in Custom USB Flash Drives","What specific goals or objectives did you hire Big Leap to accomplish?","Improve our Organic SEO Rankings","Improve the overall traffic we are bringing to our website","High ratings","How did you find Big Leap?","Online Search","Why did you select Big Leap over others?","Great culture fit","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","Website Audit:","Scope of work:","Content And Striking Distance:","What were the measurable outcomes from the project that demonstrate progress or success?","Linkbuilding and outreach:","Describe their project management. Did they deliver items on time? How did they respond to your needs?","","What was your primary form of communication with Big Leap?","Big Leap has many impressive qualities about them. The team we work with is super knowledgable and friendly. They always know how to joke and have a good time but also take it seriously and present us with the completed tasks in a professional manner. I find that most companies struggle with this but not Big Leap. Because of this, I truly feel more comfortable working with them which over all makes the working relationship fun and easy.","What did you find most impressive or unique about this company?","Honestly, I say this with with complete transperancy. There is absolutely nothing that I would have wanted Big Leap to do differently for what we worked on together. Big Leap has gotten us exactly where we wanted to be and did it exactly how they said they would. We have nothing to say when it comes to improvements because they did everything correctly as we had discussed before we started working with them.","5.0","Virtual Meeting","Email or Messaging App","","","","","","","","Optimize the website by improving on-page and technical SEO in order to achieve a high-ranking position through various keywords. Create a good foundation for the brand to maintain a top position amongst competitors. Key Deliverables:","One of Big Leaps strongest strengths that I personally enjoyed most of all, was the way they delivered completed/ on-going tasks. They have a very organized method of delivering projects and information to us. They were always on time with the deliverables and would even send them earlier than the due date on certain occasions. Big Leap addressed all our needs whenever they were asked and always in a timely manner. I couldn't be happier that we chose to work with them.","","We can track the measurable outcomes through Big Leaps reports that use adaptive tools to show current results. One outcome we can measure is the keyword rankings. This provides us with information about the target keywords we are targeting as discussed on the onboarding. This has shown us success in improving ranking for the majority of those keywords. Another measurable outcome that shows progress is the organic traffic report. This makes it easier to understand different metrics and how they correlate to one another. For example, even though sessions may be down, conversions are up. This tells us that our strategy to increase transactional intent is working as fewer people are coming for information and more are requesting quotes."
"SEO & Content Strategy for Financial Services Company","Search Engine Optimization","","$10,000 to $49,999","Dec. 2023 - May 2024","4.0","4.0","4.0","5.0","3.5","""Their willingness to be flexible to the changing needs of our team was impressive.""","Mar 21, 2024","Head of Content, Financial Services Company","Anonymous","Verified","Financial services","New York City, New York","1-10 Employees","Online Review","Big Leap provided SEO services for a financial services company. Their thorough work included competitor analysis, keyword research, SEO audits, content optimization, Google Analytics audit, and rank tracking.","Thanks to Big Leap's robust SEO content strategy, the client noticed technical SEO improvements and improved rankings for over 60 keywords. The team was organized, thorough, easy to work with, and flexible around the client's changing needs. Moreover, they were genuinely excited about the project.","The client submitted this review online.","Please describe your company and position.","I am the Head of Content of a financial services company","Describe what your company does in a single sentence.","Hopscotch is the all-in-one invoicing, instant cash flow, and bill pay solution for small businesses.","What specific goals or objectives did you hire Big Leap to accomplish?","Competitor content audit and identify gaps / content opportunities","Optimize on-site SEO and improve page rankings for non-brand search terms","Identify and action on link building opportunities","How did you find Big Leap?","Other","Why did you select Big Leap over others?","Pricing fit our budget","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","MONTH 1:","What were the measurable outcomes from the project that demonstrate progress or success?","Google Analytics Audit","Describe their project management. Did they deliver items on time? How did they respond to your needs?","Very organized and easy to work with, this team does thoughtful and methodical work.","What was your primary form of communication with Big Leap?","Rank Tracking/Setup","What did you find most impressive or unique about this company?","Seed Keyword Research","Are there any areas for improvement or something Big Leap could have done differently?","Site Audit Implementation","4.0","Parameters & Deadweight Audit","Guest Blog Post Prospecting","Their willingness to be flexible to the changing needs of our team was impressive, finding ways to always say yes when we had a shift in scope or wanted to adapt our deliverable targets each month. Very accommodating and genuinely excited to learn about our product, improve our content performance, etc.","Our work with them is ongoing, but no substantial critical feedback at this time.","","","","","","MONTHS 2+:","Competitive Keyword Gap Analysis","Enterprise Technical SEO",""
"SEO & Google Ads Management for CRM Consulting Company","Pay Per Click","Search Engine Optimization","Confidential","Nov. 2023 - Ongoing","5.0","5.0","5.0","5.0","4.5","""Their customer service is always personalized and authentic.""","Mar 12, 2024","Sales Enablement Analyst, WayPath","Elizabeth Sheehan","Verified","Other industries","Richmond, Virginia","11-50 Employees","Online Review","Big Leap provides SEO services for a CRM consulting company. The team provides technical analysis, keyword research, and SEO strategy. Big Leap also manage the client's Google Ads campaigns.","The client has seen an increase in organic traffic and keyword ranking since partnering with Big Leap. The client's Google Ads' impressions and click-through rates has increased too. Big Leap provides timely and detailed reporting and top-class communication via email and virtual meetings.","The client submitted this review online.","Please describe your company and position.","I am the Sales Enablement Analyst of WayPath","Describe what your company does in a single sentence.","We help organizations select and implement customized customer experience platforms, in particular CCM, CRM, and CMS.","What specific goals or objectives did you hire Big Leap to accomplish?","Increase website presence and generate leads through SEO","Generate leads through Google Ads","Great culture fit","How did you find Big Leap?","Referral","Why did you select Big Leap over others?","Good value for cost","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","Big Leap provides us with SEO work that includes technical analysis, keyword, research, and strategy, which informs a roadmap and plan of action. They also manage our Google ads, which includes setting up campaigns and tracking, auditing, and editing those campaigns. They provide advanced analytics monitoring, CRO recommendations, and report for data-driven campaign refinement.","What were the measurable outcomes from the project that demonstrate progress or success?","The keywords we are tracking, have increased, as well as organic traffic. Organic sessions, total users, new users, and average engagement time have increased as well. We are also seeing increased impressions and CTR on our Google ads.","Describe their project management. Did they deliver items on time? How did they respond to your needs?","Project management is perfection! Reporting is timely and detailed. We work with a variety of vendors and services, and Big Leap’s communication is absolutely best in class.","What was your primary form of communication with Big Leap?","","What did you find most impressive or unique about this company?","","Are there any areas for improvement or something Big Leap could have done differently?","","5.0","","","The sense of teamwork and communication is most impressive. Even though our meetings are virtual, their customer service is always personalized and authentic. They are organized, consummate professionals, approachable, and show a sincere interest in the success of our business.","It’s too soon to tell — we are excited to continue our journey!","""Carolyn and her team are amazing! They are always receptive to questions and have educated us so much about SEO and PPC.""","""The reporting is always detailed and organized. We always feel informed!""","""I can’t say enough about the communication – timely, professional, and thorough. They are always one step ahead!""","","","","","",""
"SEO Services for Plumbing, HVAC & Electrical Services Co","Search Engine Optimization","","$200,000 to $999,999","Feb. 2023 - Ongoing","5.0","5.0","5.0","4.0","5.0","""I'm continually impressed by their ability to stay on top of their work.""","Mar 8, 2024","Digital Content Manager, ARS/Rescue Rooter","Drew Blake","Verified","Consumer products & services","Memphis, Tennessee","5,001-10,000 Employees","Online Review","Big Leap provides SEO services for several brands of a plumbing, HVAC, and electrical services company. The goal is to improve SEO performance, increase leads, and consolidate the brands.","The client has seen improved keyword rankings, website traffic, and calls from Google Business Profile in every one of the brands whose SEO Big Leap manages. The team exhibits attention to detail and keeps track of all brands exceptionally well. Their outstanding project management is impressive.","The client submitted this review online.","Please describe your company and position.","I am the Digital Content Manager of ARS/Rescue Rooter","Describe what your company does in a single sentence.","Plumbing, HVAC and electrical work","What specific goals or objectives did you hire Big Leap to accomplish?","Improve SEO performance","Increase leads","Consolidate brands","How did you find Big Leap?","They were our vendor when I started, not sure how we found them","Why did you select Big Leap over others?","Great culture fit","How many teammates from Big Leap were assigned to this project?","2-5 Employees","Describe the scope of work in detail. Please include a summary of key deliverables.","Big Leap has been responsible for managing SEO strategy for many of our brands. In the brands that they've managed, we've seen improvements in keyword rankings","What were the measurable outcomes from the project that demonstrate progress or success?","","Describe their project management. Did they deliver items on time? How did they respond to your needs?","","What was your primary form of communication with Big Leap?","Their project management is probably the most impressive. Our work is very nuanced and we manage several brands with them, and they do a wonderful job of keeping track of it all. Beyond that, their SEO industry and technical knowledge is impressive as well. That was the other main distinguishing factor that separated them from other agencies we were considering.","What did you find most impressive or unique about this company?","Honestly, it's hard to ask for more from Big Leap. They've been super flexible as we've navigated major changes and strategy shifts internally. I cannot think of anything that I would change about our partnership or the way we interact","Are there any areas for improvement or something Big Leap could have done differently?","","5.0","","","","","","","","","","","","","Big Leap's project management is exceptional. They manage several brands, and they keep track in extreme detail of every bit of work they do, we do, and that needs to get done. They're attention to detail is one of the main factors that separated them from the competition when choosing agencies. I'm continually impressed by their ability to stay on top of their work, and keep us accountable with clear action items after every meeting."
"SEO for Collision Repair Company","Search Engine Optimization","","$50,000 to $199,999","Jan. 2016 - Ongoing","5.0","5.0","5.0","5.0","5.0","""We're lucky to have them.""","May 18, 2023","Business Development Director, Cascade Collision Repair","Tyson Lyons","Verified","Automotive","Lehi, Utah","201-500 Employees","Online Review","Big Leap provides SEO services for a collision repair company. The team is responsible for continuous citation and service area creation and optimizing Google My Business listings.","Thanks to Big Leap, the client has drastically improved their website ranking on search engines, increased their calls by 45%, website visitors by 17%, and map views by 22%. The service provider is highly responsive via email. The client is pleased with their consistency and excellent service.","The client submitted this review online.","Please describe your company and position.","I am the Business Development Director of Cascade Collision Repair","Describe what your company does in a single sentence.","We are a growing regional collision repair MSO (Multi Store Owner)","What specific goals or objectives did you hire Big Leap to accomplish?","SEO","Online Search","Referral","How did you find Big Leap?","","Why did you select Big Leap over others?","Great culture fit","How many teammates from Big Leap were assigned to this project?","","Describe the scope of work in detail. Please include a summary of key deliverables.","","What were the measurable outcomes from the project that demonstrate progress or success?","","What was your primary form of communication with Big Leap?","","Describe their project management. Did they deliver items on time? How did they respond to your needs?","","What did you find most impressive or unique about this company?","","Are there any areas for improvement or something Big Leap could have done differently?","","5.0","2-5 Employees","Achieve first-page rankings and build upon Local SEO efforts with continuous citation creation, service area creation, and updating GMBs. The results speak for themselves: Phone calls from all locations increased by 45.8% Map views from all locations increased by 22.1% Search views from all locations increased by 11.9% Website visits from all locations increased by 17.4% Direction requests from all locations increased by 0.6%","Matt and Ryan are amazing. Big Leap should do everything they can to keep those two around.","","","","","","","","When I joined our Company Big Leap was one of many marketing vendors being utilized. After monitoring performance of all vendors over several months Big Leap is the only one still around. They have consistently performed and continue to provide excellent service. We're lucky to have them.","","Matt and Ryan at Big Leap have been the most prepared and responsive vendors we've ever used."
"SEO Management Services for Child Protection Nonprofit","Search Engine Optimization","","$10,000 to $49,999","Jan. 2022 - Ongoing","5.0","5.0","5.0","4.5","5.0","""We're impressed by their level of professionalism and willingness to help out wherever asked.""","Nov 22, 2022","Marketing Director, Child Protection Nonprofit","Anonymous","Verified","Other industries","Lehi, Utah","51-200 Employees","Online Review","Big Leap provides SEO management services for a child protection nonprofit undergoing a rebranding project. The team has worked on helping the group transition their website from its old version to the new one.","The company has gained better rankings for their keywords as Big Leap continues to audit old and new pages. The team has been great to work with since they manage the project effectively. Their members are highly responsive and professional. They're always willing to help the client whenever needed.","The client submitted this review online.","Please describe your company and your position there.","I am the marketing director of a nonprofit. Our focus is to liberate individuals and society from the child sexual abuse and its lasting impacts.","For what projects/services did your company hire Big Leap, and what were your goals?","We have been going through a rebrand and have hired Big Leap to help assist with our SEO management to increase traffic to our new site during the rebrand.","How did you select this vendor and what were the deciding factors?","Originally Big Leap was brought on to work on SEO for our organization, but with the rebrand they have worked more on helping with the transition of our website and balancing the old and new.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","A contract that was already in place, but we have been very happy with their service on this ongoing project.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","We work with 2 members of the team.","Describe their project management style, including communication tools and timeliness.","We have seen an increase on our ranking keywords over the last couple of months and continue to use Big Leap to audit old and new pages to make sure they are performing at optimal levels.","What did you find most impressive or unique about this company?","They have been great to work with and have always been quick to respond with any request that we have for them.","Are there any areas for improvement or something they could have done differently?","Their level of professionalism and willingness to help out wherever asked.","","Nothing that I can think of. We continue to brainstorm with them on new ways that can help and bring value.","","","","","5.0","","","","","","","","","","","","",""
"SEO & PPC Support for FinTech Company","Digital Strategy","Other Digital Marketing","$50,000 to $199,999","May 2022 - Ongoing","4.5","4.0","5.0","4.5","4.5","""The team has a very strong 'can-do' attitude. They are very approachable and timely.""","Nov 17, 2022","CMO, United Credit","Anonymous","Verified","Financial services","Irvine, California","51-200 Employees","Online Review","Big Leap has been hired as a fintech company's digital marketing partner and grew their web presence with SEO and PPC with Google Ads. They analyze and help retain and grow the client's online equity.","Big Leap has strengthened the client's SEO quality significantly. They've changed the client's direction with a strong can-do attitude. They're also very approachable and timely. The vendor also send detailed meeting summaries.","The client submitted this review online.","Please describe your company and your position there.","United Credit is a financial technology company that connects consumers and businesses with an array of experienced, innovative financing solutions. I'm the Chief Marketing Officer.","For what projects/services did your company hire Big Leap, and what were your goals?","In advance of rebranding the company, we hired Big Leap as our digital marketing agency partner to help us assess and grow both our web presence's SEO and PPC through Google Ads. It was important to keep our existing legacy search equity while transitioning to the new company name.","How did you select this vendor and what were the deciding factors?","We began with discovery and account onboarding in May then moved into analysis of our existing SEO/PPC in June. In August, we rebranded and then in September, Big Leap helped us transition to a new online name and website. Throughout, SEO was analyzed to help us retain and grow our online equity. PPC looked at trends in our campaigns and helped us test an increase in spend. Following a few months, we started implementing changes based on data with Big Leap's help.","","","Describe the scope of work in detail, including the project steps, key deliverables, and campaigns.","","How many people from the vendor's team worked with you, and what were their positions?","The team support structure presented by Big Leap was much deeper than what we saw from other agencies we interviewed.","Can you share any measurable outcomes of the project or general feedback about the deliverables?","Throughout our engagement with Big Leap, we've had an Account Manager. We've also had 1 SEO specialist and 1 PPC specialist. Recently the team expanded to include more PPC support.","Describe their project management style, including communication tools and timeliness.","Since our work with Big Leap, the quality of our website content has been strengthened due to their SEO input. We've also had their SEO support on content edits for EAT (Expertise/Authority/Trust). Our search ranking has remained strong, even through the rebranding. We increased our PPC spend in order to generate more business, but when we noticed diminishing returns, Big Leap helped us change direction quickly.","What did you find most impressive or unique about this company?","The team is great at communicating, sharing data, and meeting deadlines. Posted Google reports show us both focus and progress in SEO and PPC. Our account manager always sends an agenda in advance of a meeting with links to reference documentation. They also send a detailed meeting summary with more documentation after each call.","Are there any areas for improvement or something they could have done differently?","The team has a very strong 'can-do' attitude. They are very approachable and timely.","","There was turnover in multiple roles on the agency team, which didn't appear to hugely impact the work, but there's always efficiency lost in transitions.","","","","","4.5","","","","","","","","","","","","",""
