id,Client,raw_T1,raw_T2,Campaign name,offer,niche/sub-niche,sophistication,lever,pattern,what_carries,mechanism_line,pattern_interrupt,cta,char_T1,char_T2,why_it_worked,,,,,
W1,Chamber Media,"Hi [FirstName], it's Courtney from Chamber. I know this is random but I took Transparent Labs from $2m to $26m/yr in under 2 years using humor to make their ads actually entertaining",It's a bit of a weird approach 😂 but I think it could work for {company} - lmk if it's worth exploring sometime next week,,Meta/paid-ads creative (DTC video),DTC ecom / supplements & health-wellness,high,Unique,Contrarian,mechanism + case study,humor to make their ads actually entertaining,I know this is random but (+ T2 'bit of a weird approach' 😂),lmk if it's worth exploring sometime next week,178,118,"Genuinely unique mechanism — nobody cites 'humor' as their growth driver, so it creates real curiosity. Carried by both the mechanism AND a recognizable case study (Transparent Labs, known in health/wellness) with a clear transformation + timeframe. The 'weird approach' + laughing emoji bridges T1→T2 and lowers the guard on SMS.",,,,,
W2,Firecracker PR,"Hi Kjirstin, feel free to ignore if you've got investor meetings lined up for Q1, but I helped Shield AI go from cold outreach to investors chasing them - mostly by making their CEO the go-to voice for AI defense (Forbes picked them up regularly, and they raised $200M off the back of it).","Saw what you're doing with graphene and had a few ideas on how you could get that same kind of attention. Can we chat sometime next week? Happy to walk you through exactly how we did it. - Edward, Firecracker PR",,PR / authority-building,B2B tech (SaaS) / defense tech,high,Curious / Helpful,High-level abstraction,case study (result),making their CEO the go-to voice for AI defense,feel free to ignore if…,Can we chat sometime next week? Happy to walk you through exactly how we did it.,292,210,"Carried mostly by the case study — Shield AI is a top name in defense tech, so naming it does the heavy lifting. T2 adds relevance ('what you're doing with graphene') to earn attention; the permission opener lowers the guard. Note: T1 runs long — trim candidate.",,,,,
W3,Target Market / Restorify,"Hi [first_name], it's April from Target Market - bit random but we run ads at the exact moment when commercial properties have water damage",It helped Restorify add $600k in bottom line within 5 months in this way - can I show you how?,,Paid ads (Google Ads / PPC / Facebook),Home services / restoration,mid-high,Timely,Trigger,case study + specificity,we run ads at the exact moment commercial properties have water damage,bit random but,can I show you how?,138,92,"Speaks their world with precise restoration language — 'at the exact moment commercial properties have water damage' is their literal dream lead. '$600k in bottom line' uses their profit framing. Carried by case study + that specificity; easy to read, matches their tone.",,,,,
W4,Leadgenix / Vital Psych MD,"Hey [Name], Taylor over at Leadgenix here. Could [Company] handle 12-15 extra patient bookings a week right now?",Just helped Vital Psych MD in Miami do that by ranking them #1 locally for mental health treatments. They're now seeing 90 leads/month. Had a few ideas for you with [Service] - lmk if you are open to a quick chat sometime tomorrow?,,Local SEO/ranking,Local businesses / therapists & counseling,low-mid,Helpful,Plain-English,case study + capacity reframe,ranking them #1 locally for mental health treatments,capacity question ('Could [Company] handle X right now?'),lmk if you are open to a quick chat sometime tomorrow?,110,232,"Case study carries it, but the capacity reframe is the unlock — 'could you handle 12–15 extra bookings?' flips it from a pitch to a question about whether they can even take more. The specific '[Service]' callout adds relevance.",,,,,
W5,Stratedia / BP Builders,"Hey {{first_name}}, Steve from Stratedia. Know this is random but if you're mostly doing residential roof replacements, I can help you break into commercial roof installations",Did this for BP Builders in CT - helped them go from 70 to 300 roof replacements/year after I got them ranking #1 for 'roof contractor CT' for both residential and commercial. Quick call where I can share the strategy?,,SEO/ranking + market-expansion,Home services / roofing,low,Helpful / Curious,Plain-English,case study + specificity,ranking #1 for 'roof contractor CT' (residential + commercial),Know this is random but,Quick call where I can share the strategy?,172,213,"Case study carries it, sharpened by specificity and the ideal outcome — breaking into commercial roofing is exactly the growth this buyer wants. The 'I can help you break into X' framing is the curiosity beat.",,,,,
W6,Scaletopia / Velox (AgencyVista),"Hi {{firstname}}, found {{company}} on AgencyVista - bit of a weird situation, we helped Velox Media (inc5000 agency) sign 24 {ICP} in 6 months but they're maxed for client capacity","Saw your work with {case study} so thought you could get similar results, interested to see how it works? - Ashley, Scaletopia",,Agency lead-gen / outbound,Marketing agencies,high,FOMO,n/a (no mechanism),case study + specificity,n/a,bit of a weird situation (+ discovery source 'found you on AgencyVista'),interested to see how it works?,178,128,FOMO via a scarcity reframe ('maxed at capacity') plus Clay-driven specificity — 'sign 24 [ICP]' and the bracketed case detail are what make it tick. No mechanism; the case study + specificity carry it.,,,,,
W7,Tiger Tracks / Lightyear,"Hi {{first_name}}, it's Cliff over at Tiger Tracks. I used to lead digital ad strategy at Google, and just helped Lightyear add $234K in ARR in 53 days without increasing ad spend - by training target CPA models to focus on actual new customers (not just site visitors or form fills).",Had a few ideas in mind for [company] with [product category] ads - can we chat sometime tomorrow?,,Paid ads (Google),B2B / commerce (furniture),high,Curious / Unique,Authority / Contrarian (tentative — revisit),authority (credibility),training target CPA models to focus on actual new customers (not just site visitors) — NOTE: weak mechanism per Aaman,skipped — Google credibility lead ('I used to lead digital ad strategy at Google'),can we chat sometime tomorrow?,292,97,"Carried by authority — 'I used to lead digital ad strategy at Google' is what sells it, not the case study or the mechanism (the mechanism here is actually weak and not worth copying). 'Had a few ideas in mind' keeps the CTA relevant.",,,,,
W8,Velox / GunBroker,"Hi {{first_name}}, feel free to ignore if you have cracked online sales without ads but, I helped GunBroker reach #1 on Google for 7 high-intent keywords. They went from $22K to $251K/month in 6 months","Saw {{company}} and had some ideas - can we chat sometime tomorrow? (also done this for Daniel Defense and 4 Patriots.) - Alexis, Velox",,SEO / organic search,DTC ecom / firearms (restricted/regulated),mid,Helpful,Plain-English / Authority,case study + authority stack,reach #1 on Google for 7 high-intent keywords,feel free to ignore if you have cracked online sales without ads but,can we chat sometime tomorrow?,205,133,"Super relevant to a regulated, high-ticket niche that needs this exact service. Case study carries it, backed by an authority stack in T2 (Daniel Defense, 4 Patriots) and a pain hook. SEO offer → leads with result.",,,,,
W9,Velox / Dr Axe,"Hi Tom-Louis, it's Christy over at Velox Media - this might sound random, but hear me out. I helped Dr Axe add $113K in monthly organic revenue in 90 days - mainly by ranking them first on Google for terms like {keyword} - without spending on ads",Can I show you how {company} can do the same?,,SEO / organic search,DTC ecom / health & supplements,high,Curious,Plain-English (+ Trigger via {keyword}),case study,ranking them first on Google for terms like {keyword} (without spending on ads),"this might sound random, but hear me out",Can I show you how {company} can do the same?,232,46,"Like-for-like to W8 — the case study is what makes it work. SEO offer where the 'mechanism' is just the ranking; the {keyword} Clay variable adds specificity/relevance. The 'without spending on ads' line is a bonus, not the driver.",,,,,
W10,Exchange Media / Lester Greene Insurance,"Hi {{first_name}}, not sure if you're at capacity, but I helped Lester Greene Insurance hit #1 on Google for commercial insurance in Tullahoma, TN","Took a few months, and now they're writing around 15-20 new commercial policies every month without relying on referral networks or cold calling. I think I could do something similar for you in {{city}}. lmk if we can chat this week? - Gabby, Exchange Media",,Local SEO,Local businesses / insurance,mid-high,Helpful,Plain-English,case study + relevance,"hit #1 on Google for commercial insurance in Tullahoma, TN (without referrals or cold calling)","not sure if you're at capacity, but",lmk if we can chat this week?,140,248,"Same shape as Leadgenix — capacity hook + hyper-local case study, a bit more relevance baked in. Case study carries it.",,,,,
