id,Client,raw_T1,raw_T2,offer,niche/sub-niche,sophistication,why_it didnt worked(text or voice note)
L1,Gofish Digital,"hey Ryan, Mia at Go Fish - bit random, but we just made EZ Bombs the #1 food brand on TikTok Shop and did $5M last quarter by combining organic viral content with affiliate live selling","I think this could also work for {company name}, could I show you how?",Tiktok shop/tiktok ,DTC ecom / CPG Brands,High,My hypothesis is that the case study itself along with the unique mechanism sounded sexy enough to get away with just throwing the SMS copy and then just them just want to be interested by it but clearly it just didn't work and I think the biggest thing is relevance. I saw a few replies that some CPG brands it just wasn't take a shot weren't going to be the child home and the other thing is I think the biggest thing is the relevance there's no relevance to peace by the church reply aside from it being having a good case study so clearly the more self centric you are the less it's going to work.
L2,SeedX (b2b SaaS),Hey {{first_name}}. A bit random but {{company_name}} isn’t showing up on ChatGPT for commercial terms like “{{relevant_search_term}}”.,"texting bc we got Millennium Alliance $1.2M in deals from Adobe & IBM this way. Most haven't cracked this - can I show you how we do it? - Jasmin, SeedX",AI SEO,B2B SaaS,Mid/High,"I think TEXTONE didn't sound very human enough. It did not come across as if it was sent by an actual human being. Also, it lacked curiosity and FOMO, and the call to action sounded a bit bland which is why they couldn't relate to it."
L3,Digital Resource,"Hi {{first_name}}, it's Shay from Digital Resource. Not sure if you've noticed Google Ads CPCs keep rising - that's bc every plumbing co bids on the same keywords","We got Half Moon Plumbing $1.26M in 4 months by running ads on mobile, OTT and CTV (placements most agencies can't access). Can I show you how it works?",Streaming ads,roofing (home services),High,"I think the offer was really good on this one, but it was not really speaking their language in terms of number of booked jobs. It was quoting revenue, and probably the recipient was thinking that it entirely depends on how much budget they invested, so that meant nothing to them in terms of revenue and so on. It didn't speak their pipeline language, so to speak. "
L4,Digital Resource,"Hi {{first_name}}, sorry to text but we took Half Moon Plumbing to $1.26M in 4 months by splitting their Google Ads by service (repipes, sewer, water heaters)","Saw {{company_name}} and had ideas on your high ticket jobs. Mind if I give you a ring this week? - Shay, Digital Resource",Google ads,roofing (home services),High,"This one had a similar issue where we were using revenue metric without saying anything about the number of booked jobs. They probably had the same concern: that revenue figure sounded probably too much to them. They probably thought there's no way, either it just sounds made up, or it won't be relevant for us unless we have a very sizable budget to spend"
L5,Kynship,"Hi {{first_name}}, Tom at Kynship. Feel free to ignore, but most agencies chase ROAS and ignore what you profit per order (easy way to bleed cash)",We took Sweet Bee Organics $5M→$20M in 1 yr using Meta ads by reporting on contribution margin instead. Worth checking out? Lmk if I can give you a ring.,Meta ads,dtc ecom/beauty & skincare brands,High,"This didn't perform because I feel there were two reasons:
1) It was too technical (because I was trying to differentiate how Kynship is different). So there was a lot of explaining being done, an education and educating that basically increased the cognitive load.
2) The phrasing was not very human enough. For example, the before and after metrics did not come across very naturally, the way a human would type, and it just probably gave the impression that it was AI-generated or something."
L6,Kynship,"Hey {{first_name}}, A bit random but we took Sweet Bee Organics 4x in 12mo ($5M→$20M) by replacing daily budgets with a hard CPA target Meta has to hit","Most agencies bid low to protect a flashy ROAS, which hands the auction to your competitors. Can I show you how I'd approach it differently? Tom, Kynship",Meta ads,dtc ecom/beauty & skincare brands,High,"This didn't perform because I feel there were two reasons:
1) It was too technical (because I was trying to differentiate how Kynship is different). So there was a lot of explaining being done, an education and educating that basically increased the cognitive load.
2) The phrasing was not very human enough. For example, the before and after metrics did not come across very naturally, the way a human would type, and it just probably gave the impression that it was AI-generated or something."
L7,WISE Digital Partners,"Hey {{first_name}}, a bit random but saw {{competitor_1}} showing up on Google for ""{{relevant_keyword}}"" & {{company_name}} isn't","Texting bc we got Stephens Plumbing in LA showing up #1 on Google at under $25 per lead. Mind if I give you a ring this week? - Matt, WISE Digital",SEO,plumbing (home services),High,"For this one, the main hook was the $25 per lead, but the two texts were not really connecting with one another. Probably what could have worked is leading with the hook, for example, ""What's your current cost per lead?"" or something like that. The reason I'm asking is we did da da da like that. "
L8,Leadgenix,"Hi {{contact.first_name}}, Carla over at Leadgenix - feel free to ignore if you're booked out, but could you take on a few more painting jobs a month?",asking bc we got O Painting in front of homeowners right as they searched for a painter - 31 leads in 30 days. worth exploring in {{contact.city}}?,local SEO,local SEO,Mid,"The case study results were really weak. 31 leads in 30 days is not impactful enough. Also, it does not really translate into booked jobs or anything like that, which many in the local SEO would want to see. Just lead numbers were very, very weak"
L9,,,,,,,
L10,,,,,,,
L11,,,,,,,
L12,,,,,,,
L13,,,,,,,
L14,,,,,,,
L15,,,,,,,
L16,,,,,,,
L17,,,,,,,
L18,,,,,,,
L19,,,,,,,
