2. ACCOUNT TARGETING - One row per industry you serve
"- The more industry/niches you give, the better as we can test way more & find what works
- For each segment please be as specific to the industry, don't give generic answers"
Industry/Sub-Niche,Pain Points (3-5),Dream Outcome,Current Solution,Mistaken Beliefs,THEIR Dream ICP,Recognizable Client/Logos,,
,3-5 DEEP pain points thats specific to the niche that they''re struggling with - (almost not being able to sleep at night sort of pain),What is 3-5 dream scenarios for them that you can solve?,What are they currently doing to solve their problems?,Mistaken beliefs/Common objections about your service,I.e Who is their Dream customer/ICP? Be as specific as possible,"Do you have any ""household"" names that prospects in the industry will have heard about/get excited)

(Ideally not fortune 500 companies as that's too big to relate)",,,,,
Supplements / Director to Consumer,"- Commoditized messaging - all brands sound the same
- Crowded market with 5,000+ supplement competitor
- Rising CAC as its such a crowded space ","- Scale profitably whilst lowering CaC
- Competing with bigger companies like c4 with unique positioning
- Creatives that last 6+ months without constantly changing things","- Current marketing agency not performing
- Running organic channels
- Already running paid social","-  ""Humor doesn't fit our industry""
- We've tried video before and it didn't work""
- facebook ads are too expensive to run","- Wealthy Health-Conscious Millennial Women
- Fitness Enthusiasts & Active Lifestyle Consumers 
- Gen Z Early adopters","Transparent Labs, AG1, Cymbiotika",<<<< EXAMPLE,
General Business KPIs/ Direct to Consumer,"-Lack of core understanding of how marketing is driving business outcomes.
-Inability to tie marketing activities back to business growth. 
-Inability to forecast into the future and understand how to generate a plan to acheive growth. 

","-Be able to understand core growth levers
-Be able to set and meet a forecast (based on total revenue and net margin)","-Guessing
-Spreadsheets 
-Rough Estimates based on in-platform metrics
-Confusion across executives, marketing, and finance.
- No solutions","-These are hard to get numbers or not worth their time to get. 
-Not possible to accurately forecast growth. 
",N/A,N/A,,
"Applovin (Alternative Ad Networks YouTube, Pinterest, etc) / Direct to Consumer","-Tired of running ads on Meta and Google
-They want to diversify but often run into issues finding efficiency
-The other channels are harder to measure in terms of lift if it is view based. ","-Expand off of Meta and Google and diversify their ad spend into other channels. 
-Be less channel dependent. 
-Be able to develop more brand marketing that they knew how it drove growth.","- Guessing
- Testing but with no idea if its working. 
- No solutions","-No major mistaken beliefs, just normally it is harder to execute on.",N/A,N/A,,,,,,,,,,,,,,,,,,
AI Visibility / Direct to Consumer ,"-Do not even know how to see if they are ranking or getting traffic through ChatGPT, Google AI Overviews, LLMs in general. 
-Do not show up in the engines. 
-Are not generating additional traffic. ","-Rank in ChatGPT for all major queries and recommend your brand.
-Increase total revenue from emerging channel. 

","-Manually testing in ChatGPT
-No tracking or insights into progress
-No team members who are staying up to date in this area. 
-No core capabilites. 
","-It is too soon to implement a program or understand what actions to take.
-Why implement if it is going to change in 3-6 months. 
 ",N/A,N/A,,,,,,,,,,,,,,,,,,
Retention / Direct to Consumer,"-No sophistication in the retention program. 
-Not making the most of it, even though it is one of the most profitable channel.
-No ability to drive a program that speaks to the core business. 
-Lack of ability to make consistently nice designs that elevate the brand. ","-Drive more profitabiltiy through return customer base. 
-Higher profits from a more profitable customer segment. ","-Freelancers
-Inhouse peson, but not core focus 
-Not executing at all. 
-Low quality agency ",-No major,N/A,N/A,,
Paid Social / Direct to Consumer,"-Do not understand how to scale up a program without losing efficiecny.
-Do not have internal team to make diversity of content. 
-Do not understand how paid social platforms are mixing with other efforts. 
","-Scale up programs while maintaining a good cost.
-Maintain current ad spend, but reduce CAC. ","-Freelancers
-Inhouse peson, but not core focus 
-Not executing at all. 
-Low quality agency ","-They don't need more creative
-They can scale off just a handfull of creatives
-Creative diversity is not a core function of growth 

",N/A,N/A,,
Paid Search / Direct to Consumer,-Not sure if they are capturing full demand. ,-Increase quick sales while maintaining CAC.,"-Freelancers
-Inhouse peson, but not core focus 
-Not executing at all. 
-Low quality agency ","-Is a secondary channel. 
-Can't scale as much as Meta.",N/A,N/A,,
SEO/ Direct to Consumer,"-While AI is the hot topic, SEO still represetns 90% of searches.
-AI is destroying top-of-funnel strategies
-How do you build a SEO strategy that drives revenue, is stable in the current state, and can also speak to AI visibility. ",-Increase total organic sales,"-Freelancers
-Inhouse peson, but not core focus 
-Not executing at all. 
-Low quality agency ","-That you can't seperate brand and non-branded keywords.
-That there is not great tracking or programs that do not over claim branded keywords. ",N/A,N/A,,
Measurement / Direct to Consumer Over 10M in Revenue,"-Are the ad platforms taking too much credit? But are not sure how much.
-Want to diversify to other channels, but not sure how to show success. 
-How does online marketing effect in-store purchases (wholesale or retail locations)","-Core understanding into their true ROI on channels.
-Be able to expand to different channels and be able to report success metrics to key stake holders. ","-Utiliziing MTA, but MTA does not help demonstrate non-click based channels.","-These programs are only for mega brands. 
-That they are expensive to execute on. 
",N/A,N/A,,
CPG (Food)  / Direct to Consumer,"-Low AOV 
-Cashflow concerns from CAC being generally higher than first-order profitability.
-Understanding payback periods of acquistion channels.
-How does online marketing effect in-store purchases (often in retail locations)

","-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"New Yorker Bagels, Bees & Trees, Mike's Mighty Good, Momofuku",,,,,,,,,,,,,,,,,,
Automotive / Direct to Consumer,"-Effects of economy on ""nice-to-have"" automotive items.
-Effects of economoy on reduced consumer spending. ","-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"S&B Filters, AudioCityUSA",,,,,,,,,,,,,,,,,,
Consumer Goods (Large AOV) / Direct to Consumer,"-High acquisiton costs 
-How to think about long purchase cycles that can take months or years. 
-How do you balance brand building with demand capture.
-Driving lifetime value beyond initial purchase
","-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"AudioCityUSA, S&B Filters, Casio Instruments",,
Home Goods / Direct to Consumer,-Driving lifetime value beyond initial purchase,"-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"Cold Creek Tubs, Casio Instruments, Dorai Home",,
Beauty (Face & Body Care/Skin & Nail Care) / Direct to Consumer,-Understanding of beauty industry is important to them,"-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"Living Proof, Oribe, Too Faced, The Ordinary, Prose Shampoo",,
Health and Wellness / Direct to Consumer,"-Making sure that marketing is compliant with regulation bodies. 
-No false or misleading claims that will have your ad accounts flagged or removed. ","-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"Bees & Trees, Nature Made",,
Apparel / Direct to Consumer,"-Understanding many/multi-SKU stores
-Understanding seasonality in apparel items.
","-Grow more while maintain strong margins and profitability.
","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,"Adidas, Yeezy, Prometheus Design Werx, Oh Polly",,
General Business KPIs/ B2B,"-Lack of pipeline and business opportunities
-Generate immediate pipeline
-What to understand how to do marketing if they have long consideration cycles. ",- Have qualified leads and opportunities come in consistently that close into good customers at an affordable cost,"- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,,,
Account Based Marketing / B2B,"-How to implement an account based marketing program that can both generate immediete pipeline and build long term brand awareness.
",- Implement ABM effectively and connect with and sell to accounts within their target market,"- Current marketing agency not performing
-In house/not performing. -No clear understanding of ABM","-All agencies suck
-This would be better in-house . 
",N/A,,,
Lead Generation / B2B,"-How to reach their audience effectively and get them on calls. 
-How to reach their audience on non-Linkedin ad networks. 
-How to consistently stay in-front of core decision makers.  -How to reach their audience at a cost that is sustainable for the company",- Have qualified leads and opportunities come in consistently that close into good customers at an affordable cost,"- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,,,
CRM & Attribution / B2B,"-Do not know how to track attribution in their CRM
-Marketing and Sales CRM are not speaking to each other
-Cannot pull data reports on opportunites and adjust campaigns
-Need to merge more data into the CRM",- Track attribution effectively in CRM - Activities are tracked effectively between sales and marketing - The CRM is set up custom to their business with all necessary data clean and present - Reports and dashboards are easily fetchable for different team leaders,- Trying to do it in-house but not being effective,"-All agencies suck
-This would be better in-house . 
",N/A,,,
AI Visibility / B2B,"-Do not even know how to see if they are ranking or getting traffic through CHatGPT, Google AI OVerviews, LLMs in general. 
-Do not show up in the engines. 
-Are not generating additional traffic. ",-LLMs and Google AI Overview mention their brand and drive leads,- Usually no solution as of right now,"-All agencies suck
-This would be better in-house . 
",N/A,,,
SEO/ B2B,"-While AI is the hot topic, SEO still represetns 90% of searches.
-AI is destroying top-of-funnel strategies
-How do you build a SEO strategy that drives revenue, is stable in the current state, and can also speak to AI visibility. ",-Their brand shows up high on search engine results for queries their potential customers are looking for,"- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",N/A,,,
MedTech / B2B ,"-Making sure that marketing is compliant with regulation bodies. 
-No false or misleading claims that will have your ad accounts flagged or removed. 
-How to reach medical professionals. ","-In addition to the above, they have a marketing partner who understands medical industry regulation","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",Medical Professionals with Practices/Hospital Groups depending on the company,"Kaiser Permanente, Ekso Bionics, NeuFit",,,,,,,,,,,,,,,,,,
Logistics / B2B,"-How to stay in ICP's mind during long consideration periods
-Do not understand core indsutry or technology.
","-In addition to the above, the marketing partner understands how to keep leads engaged and measure indicators of success across a long sales cycle ","- Current marketing agency not performing
-In house/not performing. ","-All agencies suck
-This would be better in-house . 
",Depends,Element Logic,,,,,,,,,,,,,,,,,,
